mId;veiID;dt;lat;lon;vel;mun;uf;via
173498725608;475971;2026-02-25T10:33:27-03:00;-23.0356;-46.7333;0;ITATIBA;SP;Próx. Rua Antônio Gilberto Frediani
173498729094;476419;2026-02-25T10:33:31-03:00;-23.0341;-46.7332;0;ITATIBA;SP;Próx. Rua Adelina Piffer Tega
173498729445;270998;2026-02-25T10:33:32-03:00;-23.694;-46.4168;73;RIBEIRÃO PIRES;SP;Rodoanel Mário Covas
173498729721;125429;2026-02-25T10:33:29-03:00;-22.4903;-47.3997;0;CORDEIRÓPOLIS;SP;Próx. Rodovia Anhanguera
173498732389;93935;2026-02-24T16:06:03-03:00;-19.7648;-47.9763;64;UBERABA;MG;BR-050
173498732788;590994;2026-02-25T10:33:40-03:00;-20.1692;-40.2041;0;SERRA;ES;Próx. Rua Projetada Três
173498734201;548321;2026-02-25T10:31:49-03:00;-8.2758;-34.9948;0;CABO DE SANTO AGOSTINHO;PE;Próx. PE-009
173498734256;598495;2026-02-25T10:33:37-03:00;-22.988;-46.8477;0;ITATIBA;SP;Rua Assad Antônio Nazar
173498736030;125359;2026-02-25T10:33:39-03:00;-23.4271;-46.3903;0;GUARULHOS;SP;Próx. Avenida Amâncio Gaiolli
173498739492;93935;2026-02-25T10:33:13-03:00;-23.0374;-46.7029;73;JARINU;SP;Rodovia Dom Pedro I
173498741922;373877;2026-02-25T10:33:49-03:00;-20.6055;-44.7236;71;CARMÓPOLIS DE MINAS;MG;Próx. Rodovia Fernão Dias
173498742296;473398;2026-02-25T10:33:54-03:00;-22.9943;-46.7897;0;ITATIBA;SP;Próx. Rodovia Dom Pedro I
173498742663;125429;2026-02-25T10:33:53-03:00;-22.4903;-47.3997;0;CORDEIRÓPOLIS;SP;Próx. Rodovia Anhanguera
173498746115;247319;2026-02-25T10:33:54-03:00;-22.9945;-46.7902;0;ITATIBA;SP;Próx. Rodovia Dom Pedro I
173498746979;564553;2026-02-25T10:33:56-03:00;-22.9599;-46.8774;51;ITATIBA;SP;Próx. Rua Alexandra Gimenez Ortis
173498747343;516640;2026-02-25T10:33:51-03:00;-29.6488;-50.1153;70;MAQUINÉ;RS;BR-101
173498747527;564824;2026-02-25T10:33:14-03:00;-22.9947;-46.7897;0;ITATIBA;SP;Próx. Rodovia Dom Pedro I
173498748818;512788;2026-02-25T10:33:52-03:00;-23.427;-46.3898;0;GUARULHOS;SP;Próx. Avenida Amâncio Gaiolli
173498750890;498872;2026-02-25T10:34:00-03:00;-23.2745;-47.828;87;TATUÍ;SP;Rodovia Presidente Castelo Branco
173498755803;599704;2026-02-25T10:34:06-03:00;-23.3788;-47.3319;53;ITU;SP;Avenida da Paz Universal
173498756425;93935;2026-02-24T16:06:27-03:00;-19.7684;-47.9748;64;UBERABA;MG;BR-050
173498757105;99519;2026-02-25T10:34:00-03:00;-23.2107;-46.8927;77;JUNDIAÍ;SP;Avenida Marginal Anhanguera
173498757675;498872;2026-02-25T10:34:05-03:00;-23.2751;-47.827;87;TATUÍ;SP;Rodovia Presidente Castelo Branco
173498763886;478987;2026-02-25T10:33:44-03:00;-23.4922;-46.558;0;GUARULHOS;SP;Próx. Rua Olavo Bilac
173498766903;539116;2026-02-25T10:34:14-03:00;-23.427;-46.3894;0;GUARULHOS;SP;Próx. Avenida Amâncio Gaiolli
173498767466;475971;2026-02-25T10:33:51-03:00;-23.0356;-46.7333;0;ITATIBA;SP;Próx. Rua Antônio Gilberto Frediani
173498767958;478987;2026-02-25T10:33:49-03:00;-23.4922;-46.558;0;GUARULHOS;SP;Próx. Rua Olavo Bilac
173498767968;478987;2026-02-25T10:34:01-03:00;-23.4922;-46.558;0;GUARULHOS;SP;Próx. Rua Olavo Bilac
173498771426;548321;2026-02-25T10:32:59-03:00;-8.2758;-34.9948;0;CABO DE SANTO AGOSTINHO;PE;Próx. PE-009
173498771434;548321;2026-02-25T10:33:30-03:00;-8.2758;-34.9948;0;CABO DE SANTO AGOSTINHO;PE;Próx. PE-009
173498775293;548321;2026-02-25T10:34:05-03:00;-8.2758;-34.9948;0;CABO DE SANTO AGOSTINHO;PE;Próx. PE-009
173498775295;548321;2026-02-25T10:34:09-03:00;-8.2758;-34.9948;0;CABO DE SANTO AGOSTINHO;PE;Próx. PE-009
173498776657;373877;2026-02-25T10:34:24-03:00;-20.6023;-44.7177;77;CARMÓPOLIS DE MINAS;MG;Rodovia Fernão Dias
173498777955;478987;2026-02-25T10:34:22-03:00;-23.4922;-46.558;0;GUARULHOS;SP;Próx. Rua Olavo Bilac
173498779394;548321;2026-02-25T10:33:27-03:00;-8.2758;-34.9948;0;CABO DE SANTO AGOSTINHO;PE;Próx. PE-009
173498779671;373877;2026-02-25T10:34:24-03:00;-20.6023;-44.7177;77;CARMÓPOLIS DE MINAS;MG;Rodovia Fernão Dias
173498779802;475971;2026-02-25T10:34:32-03:00;-23.0355;-46.7333;0;ITATIBA;SP;Próx. Rua Antônio Gilberto Frediani
173498784380;498872;2026-02-25T10:34:35-03:00;-23.278;-47.8206;87;TATUÍ;SP;Rodovia Presidente Castelo Branco
173498784493;313628;2026-02-25T10:34:34-03:00;-22.9897;-46.8011;0;ITATIBA;SP;Próx. Rodovia Dom Pedro I
173498785034;548321;2026-02-25T10:33:34-03:00;-8.2758;-34.9948;0;CABO DE SANTO AGOSTINHO;PE;Próx. PE-009
173498785777;514349;2026-02-25T10:34:35-03:00;-20.2857;-44.4351;0;RIO MANSO;MG;Próx. Rodovia Fernão Dias
173498786499;470266;2026-02-25T10:34:35-03:00;-22.9669;-45.4317;0;PINDAMONHANGABA;SP;Próx. Rodovia Presidente Dutra
173498790168;498872;2026-02-25T10:34:39-03:00;-23.2783;-47.8197;87;TATUÍ;SP;Rodovia Presidente Castelo Branco
173498790242;548321;2026-02-25T10:34:13-03:00;-8.2758;-34.9948;0;CABO DE SANTO AGOSTINHO;PE;Próx. PE-009
173498793827;516640;2026-02-25T10:34:15-03:00;-29.6514;-50.1188;69;MAQUINÉ;RS;BR-101
173498800906;99407;2026-02-25T10:34:50-03:00;-22.4918;-47.3997;0;CORDEIRÓPOLIS;SP;Próx. Rodovia Anhanguera
173498801354;373877;2026-02-25T10:34:55-03:00;-20.6005;-44.7122;78;CARMÓPOLIS DE MINAS;MG;Rodovia Fernão Dias
173498803506;476025;2026-02-25T10:35:03-03:00;-22.9947;-46.7897;0;ITATIBA;SP;Próx. Rodovia Dom Pedro I
173498809736;548332;2026-02-25T10:35:08-03:00;-23.4269;-46.3896;0;GUARULHOS;SP;Próx. Avenida Amâncio Gaiolli
173498810458;593867;2026-02-25T10:34:46-03:00;-18.4977;-44.4536;74;CORINTO;MG;BR-135